# WARNING: MOCK/SYNTHETIC ADP — not real consensus platform data
adp_rank,player_name,position,team,adp,projected_total
1,Amon-Ra St. Brown,WR,DET,1.0,309
2,Jaxson Dart,QB,NYG,1.9,290
3,Josh Allen,QB,,2.6,340
4,Patrick Mahomes,QB,KC,4.4,289
5,Drake Maye,QB,NE,5.8,266
6,Jalen Hurts,QB,PHI,6.8,282
7,Jared Goff,QB,DET,8.2,287
8,Ja'Marr Chase,WR,CIN,8.6,264
9,Jaxon Smith-Njigba,WR,SEA,10.1,259
10,Ashton Jeanty,RB,LV,10.1,249
11,Caleb Williams,QB,CHI,11.1,236
12,Bo Nix,QB,DEN,11.5,254
13,Trey McBride,TE,ARI,11.9,222
14,James Cook,RB,BUF,12.4,233
15,Justin Herbert,QB,LAC,14.0,233
16,Trevor Lawrence,QB,JAX,14.4,242
17,Puka Nacua,WR,LA,16.5,247
18,Matthew Stafford,QB,LA,17.3,228
19,Joe Burrow,QB,CIN,18.0,224
20,Dak Prescott,QB,DAL,20.3,225
21,Jahmyr Gibbs,RB,DET,20.8,238
22,Tetairoa McMillan,WR,CAR,21.8,207
23,C.J. Stroud,QB,HOU,24.4,201
24,Cam Ward,QB,TEN,25.8,206
25,Josh Jacobs,RB,GB,26.3,203
26,Drake London,WR,ATL,26.8,209
27,Christian McCaffrey,RB,SF,26.9,207
28,Brock Bowers,TE,LV,27.4,209
29,Lamar Jackson,QB,BAL,28.7,206
30,Travis Etienne,RB,JAX,30.4,202
31,Chase Brown,RB,CIN,32.4,198
32,Malik Nabers,WR,NYG,33.0,198
33,TreVeyon Henderson,RB,NE,33.0,195
34,Tee Higgins,WR,CIN,33.3,198
35,Kyren Williams,RB,LA,33.6,193
36,Derrick Henry,RB,BAL,35.0,212
37,Jonathan Taylor,RB,IND,36.8,202
38,Rashee Rice,WR,KC,37.6,193
39,Sam Darnold,QB,SEA,38.2,190
40,A.J. Brown,WR,PHI,39.9,190
41,George Pickens,WR,DAL,39.9,187
42,Daniel Jones,QB,IND,41.3,182
43,Jameson Williams,WR,DET,41.4,184
44,DeVonta Smith,WR,PHI,42.5,177
45,Baker Mayfield,QB,TB,44.5,185
46,Brock Purdy,QB,SF,45.2,176
47,Zay Flowers,WR,BAL,45.4,182
48,Saquon Barkley,RB,PHI,46.5,179
49,CeeDee Lamb,WR,DAL,47.7,180
50,Brian Thomas Jr.,WR,JAX,47.8,170
51,Emeka Egbuka,WR,TB,49.8,167
52,Bryce Young,QB,CAR,51.4,171
53,Justin Jefferson,WR,MIN,52.5,171
54,Kenneth Walker III,RB,SEA,52.8,171
55,DK Metcalf,WR,PIT,54.7,169
56,Wan'Dale Robinson,WR,NYG,55.4,161
57,Omarion Hampton,RB,LAC,57.3,158
58,Davante Adams,WR,LA,57.7,164
59,Stefon Diggs,WR,NE,58.9,157
60,Marvin Harrison Jr.,WR,ARI,59.3,164
61,Anthony Richardson,QB,IND,60.2,155
62,Chris Godwin Jr.,WR,TB,63.0,157
63,Zach Charbonnet,RB,SEA,64.5,154
64,D'Andre Swift,RB,CHI,65.0,153
