# WARNING: MOCK/SYNTHETIC ADP — not real espn platform data
adp_rank,player_name,position,team,adp,projected_total
1,Patrick Mahomes,QB,KC,1.0,289
2,Drake Maye,QB,NE,1.0,266
3,Jaxson Dart,QB,NYG,1.5,290
4,Josh Allen,QB,,1.8,340
5,Amon-Ra St. Brown,WR,DET,3.2,309
6,Jared Goff,QB,DET,4.1,287
7,Jahmyr Gibbs,RB,DET,7.4,238
8,Jaxon Smith-Njigba,WR,SEA,8.0,259
9,Caleb Williams,QB,CHI,8.2,236
10,Bo Nix,QB,DEN,8.4,254
11,Ja'Marr Chase,WR,CIN,9.4,264
12,Derrick Henry,RB,BAL,10.9,212
13,Matthew Stafford,QB,LA,11.6,228
14,Trevor Lawrence,QB,JAX,12.0,242
15,Justin Herbert,QB,LAC,14.0,233
16,Ashton Jeanty,RB,LV,14.0,249
17,Joe Burrow,QB,CIN,15.0,224
18,Dak Prescott,QB,DAL,15.7,225
19,Jalen Hurts,QB,PHI,15.8,282
20,Puka Nacua,WR,LA,19.5,247
21,James Cook,RB,BUF,19.6,233
22,Drake London,WR,ATL,23.8,209
23,Lamar Jackson,QB,BAL,23.9,206
24,C.J. Stroud,QB,HOU,24.4,201
25,Trey McBride,TE,ARI,24.8,222
26,Christian McCaffrey,RB,SF,26.0,207
27,Tetairoa McMillan,WR,CAR,26.0,207
28,Josh Jacobs,RB,GB,29.0,203
29,TreVeyon Henderson,RB,NE,29.3,195
30,Cam Ward,QB,TEN,30.4,206
31,Malik Nabers,WR,NYG,30.5,198
32,Travis Etienne,RB,JAX,31.2,202
33,Kyren Williams,RB,LA,33.0,193
34,Jonathan Taylor,RB,IND,34.2,202
35,Rashee Rice,WR,KC,35.6,193
36,Chase Brown,RB,CIN,36.4,198
37,Sam Darnold,QB,SEA,36.8,190
38,Brock Bowers,TE,LV,37.2,209
39,Tee Higgins,WR,CIN,37.6,198
40,Jameson Williams,WR,DET,39.0,184
41,Daniel Jones,QB,IND,41.5,182
42,George Pickens,WR,DAL,43.9,187
43,Baker Mayfield,QB,TB,45.1,185
44,Saquon Barkley,RB,PHI,45.3,179
45,Zay Flowers,WR,BAL,45.4,182
46,Bryce Young,QB,CAR,46.7,171
47,A.J. Brown,WR,PHI,46.9,190
48,CeeDee Lamb,WR,DAL,48.3,180
