# WARNING: MOCK/SYNTHETIC ADP — not real sleeper platform data
adp_rank,player_name,position,team,adp,projected_total
1,Josh Allen,QB,,1.0,340
2,Amon-Ra St. Brown,WR,DET,1.0,309
3,Trey McBride,TE,ARI,1.5,222
4,Patrick Mahomes,QB,KC,3.5,289
5,Jaxson Dart,QB,NYG,3.6,290
6,Ja'Marr Chase,WR,CIN,4.9,264
7,Jahmyr Gibbs,RB,DET,5.3,238
8,Drake Maye,QB,NE,7.1,266
9,Bo Nix,QB,DEN,7.5,254
10,Jalen Hurts,QB,PHI,8.4,282
11,Trevor Lawrence,QB,JAX,12.5,242
12,Jared Goff,QB,DET,12.6,287
13,Ashton Jeanty,RB,LV,13.0,249
14,Puka Nacua,WR,LA,13.2,247
15,Joe Burrow,QB,CIN,14.4,224
16,Caleb Williams,QB,CHI,15.0,236
17,Jaxon Smith-Njigba,WR,SEA,15.3,259
18,C.J. Stroud,QB,HOU,16.9,201
19,Tetairoa McMillan,WR,CAR,18.1,207
20,Matthew Stafford,QB,LA,18.5,228
21,Justin Herbert,QB,LAC,20.0,233
22,Brock Bowers,TE,LV,20.7,209
23,Drake London,WR,ATL,22.4,209
24,Christian McCaffrey,RB,SF,23.2,207
25,TreVeyon Henderson,RB,NE,23.5,195
26,Dak Prescott,QB,DAL,24.6,225
27,Malik Nabers,WR,NYG,25.2,198
28,Josh Jacobs,RB,GB,28.4,203
29,Chase Brown,RB,CIN,29.1,198
30,Travis Etienne,RB,JAX,30.5,202
31,James Cook,RB,BUF,32.0,233
32,Derrick Henry,RB,BAL,32.3,212
33,Cam Ward,QB,TEN,32.8,206
34,Kyren Williams,RB,LA,33.4,193
35,Lamar Jackson,QB,BAL,33.5,206
36,George Pickens,WR,DAL,34.0,187
37,Tee Higgins,WR,CIN,36.2,198
38,Daniel Jones,QB,IND,40.1,182
39,Saquon Barkley,RB,PHI,40.6,179
40,DeVonta Smith,WR,PHI,40.7,177
41,Sam Darnold,QB,SEA,41.3,190
42,Jonathan Taylor,RB,IND,42.0,202
43,Brian Thomas Jr.,WR,JAX,43.6,170
44,Jameson Williams,WR,DET,43.8,184
45,A.J. Brown,WR,PHI,43.9,190
46,Brock Purdy,QB,SF,44.1,176
47,Zay Flowers,WR,BAL,44.1,182
48,Rashee Rice,WR,KC,45.3,193
49,Baker Mayfield,QB,TB,47.4,185
50,CeeDee Lamb,WR,DAL,48.0,180
51,Wan'Dale Robinson,WR,NYG,48.9,161
52,Emeka Egbuka,WR,TB,50.3,167
53,Bryce Young,QB,CAR,51.2,171
54,Justin Jefferson,WR,MIN,52.3,171
55,DK Metcalf,WR,PIT,53.7,169
56,Travis Kelce,TE,KC,54.8,138
57,Davante Adams,WR,LA,55.4,164
58,Omarion Hampton,RB,LAC,55.7,158
59,Chris Godwin Jr.,WR,TB,58.8,157
60,Zach Charbonnet,RB,SEA,59.5,154
61,Marvin Harrison Jr.,WR,ARI,60.8,164
62,Kenneth Walker III,RB,SEA,62.6,171
63,Stefon Diggs,WR,NE,63.2,157
64,Jordan Addison,WR,MIN,66.3,152
65,Quentin Johnston,WR,LAC,66.5,151
66,DJ Moore,WR,CHI,67.5,139
67,Alec Pierce,WR,IND,68.0,151
68,Quinshon Judkins,RB,CLE,68.8,149
69,Javonte Williams,RB,DAL,69.4,145
70,Deebo Samuel Sr.,WR,WAS,70.0,140
71,Ladd McConkey,WR,LAC,71.2,153
72,Rome Odunze,WR,CHI,71.4,144
73,Bijan Robinson,RB,ATL,73.3,151
74,Jayden Higgins,WR,HOU,73.4,137
75,Hunter Henry,TE,NE,74.1,138
76,D'Andre Swift,RB,CHI,74.4,153
77,Cam Skattebo,RB,NYG,74.5,136
78,Anthony Richardson,QB,IND,74.8,155
79,RJ Harvey,RB,DEN,74.8,156
80,Kenneth Gainwell,RB,PIT,78.6,136
81,Kyle Pitts,TE,ATL,80.2,153
82,Dalton Kincaid,TE,BUF,80.3,136
83,Michael Pittman,WR,,81.3,134
84,Jake Ferguson,TE,DAL,82.4,129
85,David Montgomery,RB,DET,83.1,143
86,Garrett Wilson,WR,NYJ,83.3,137
87,Dallas Goedert,TE,PHI,83.8,130
88,Luther Burden III,WR,CHI,87.5,128
89,Sam LaPorta,TE,DET,88.3,130
90,George Kittle,TE,SF,88.8,149
91,Tyler Warren,TE,IND,91.5,129
92,Colston Loveland,TE,CHI,92.1,131
93,Jordan Love,QB,GB,92.7,131
94,Bucky Irving,RB,TB,93.2,125
95,Cade Otton,TE,TB,93.5,129
96,Jakobi Meyers,WR,JAX,94.3,124
97,Terry McLaurin,WR,WAS,95.7,133
98,Keenan Allen,WR,LAC,96.1,121
99,Courtland Sutton,WR,DEN,97.4,122
100,Tucker Kraft,TE,GB,97.9,116
101,Jaylen Warren,RB,PIT,101.3,123
102,Kyler Murray,QB,ARI,101.6,119
103,Khalil Shakir,WR,BUF,103.3,125
104,Jerry Jeudy,WR,CLE,106.7,122
105,Drew Lock,QB,SEA,106.8,125
106,Kyle Monangai,RB,CHI,108.2,116
107,Michael Wilson,WR,ARI,108.5,116
