# WARNING: MOCK/SYNTHETIC ADP — not real yahoo platform data
adp_rank,player_name,position,team,adp,projected_total
1,Jaxon Smith-Njigba,WR,SEA,1.0,259
2,Jahmyr Gibbs,RB,DET,1.0,238
3,Josh Allen,QB,,4.1,340
4,Amon-Ra St. Brown,WR,DET,4.2,309
5,Patrick Mahomes,QB,KC,5.1,289
6,Jaxson Dart,QB,NYG,5.3,290
7,Jared Goff,QB,DET,6.1,287
8,Ja'Marr Chase,WR,CIN,6.4,264
9,Justin Herbert,QB,LAC,7.8,233
10,Drake Maye,QB,NE,8.1,266
11,Jalen Hurts,QB,PHI,10.1,282
12,Bo Nix,QB,DEN,10.8,254
13,Ashton Jeanty,RB,LV,12.7,249
14,Trey McBride,TE,ARI,13.4,222
15,Trevor Lawrence,QB,JAX,13.7,242
16,Dak Prescott,QB,DAL,15.6,225
17,James Cook,RB,BUF,15.8,233
18,Lamar Jackson,QB,BAL,17.3,206
19,Matthew Stafford,QB,LA,18.3,228
20,Derrick Henry,RB,BAL,19.9,212
21,Drake London,WR,ATL,20.2,209
22,Tetairoa McMillan,WR,CAR,20.9,207
23,Caleb Williams,QB,CHI,21.9,236
24,Joe Burrow,QB,CIN,22.2,224
25,Christian McCaffrey,RB,SF,24.7,207
26,Jonathan Taylor,RB,IND,25.5,202
27,A.J. Brown,WR,PHI,29.2,190
28,Rashee Rice,WR,KC,29.4,193
29,Tee Higgins,WR,CIN,30.4,198
30,Puka Nacua,WR,LA,32.2,247
31,Travis Etienne,RB,JAX,34.4,202
32,Kyren Williams,RB,LA,35.1,193
33,Josh Jacobs,RB,GB,35.5,203
34,Malik Nabers,WR,NYG,35.5,198
35,C.J. Stroud,QB,HOU,37.9,201
36,Cam Ward,QB,TEN,38.2,206
37,Jameson Williams,WR,DET,38.6,184
38,TreVeyon Henderson,RB,NE,39.5,195
39,Brian Thomas Jr.,WR,JAX,40.3,170
40,CeeDee Lamb,WR,DAL,41.0,180
41,Baker Mayfield,QB,TB,41.4,185
42,George Pickens,WR,DAL,41.6,187
43,Kenneth Walker III,RB,SEA,41.8,171
44,Brock Bowers,TE,LV,41.9,209
45,Sam Darnold,QB,SEA,42.4,190
46,Chase Brown,RB,CIN,45.3,198
47,Bryce Young,QB,CAR,46.9,171
48,DeVonta Smith,WR,PHI,49.5,177
49,Kyle Pitts,TE,ATL,50.1,153
50,Brock Purdy,QB,SF,50.7,176
51,Saquon Barkley,RB,PHI,51.1,179
52,Emeka Egbuka,WR,TB,51.4,167
53,Marvin Harrison Jr.,WR,ARI,52.7,164
54,Daniel Jones,QB,IND,52.7,182
55,Zay Flowers,WR,BAL,53.9,182
56,Stefon Diggs,WR,NE,54.3,157
57,DK Metcalf,WR,PIT,56.0,169
58,Omarion Hampton,RB,LAC,57.4,158
59,Justin Jefferson,WR,MIN,58.8,171
60,Wan'Dale Robinson,WR,NYG,59.0,161
61,Ladd McConkey,WR,LAC,59.5,153
62,Alec Pierce,WR,IND,60.4,151
63,Davante Adams,WR,LA,60.7,164
64,Zach Charbonnet,RB,SEA,60.8,154
65,RJ Harvey,RB,DEN,63.9,156
66,Chris Godwin Jr.,WR,TB,65.1,157
67,D'Andre Swift,RB,CHI,66.6,153
68,Javonte Williams,RB,DAL,68.3,145
69,Deebo Samuel Sr.,WR,WAS,69.9,140
70,David Montgomery,RB,DET,70.6,143
71,Quinshon Judkins,RB,CLE,71.7,149
72,Bijan Robinson,RB,ATL,73.5,151
73,Anthony Richardson,QB,IND,76.1,155
74,Rome Odunze,WR,CHI,76.3,144
75,George Kittle,TE,SF,76.8,149
76,Quentin Johnston,WR,LAC,78.6,151
77,DJ Moore,WR,CHI,79.5,139
78,Jordan Addison,WR,MIN,80.8,152
79,Hunter Henry,TE,NE,81.4,138
80,Jayden Higgins,WR,HOU,82.8,137
81,Cam Skattebo,RB,NYG,83.2,136
82,Jordan Love,QB,GB,84.3,131
83,Kenneth Gainwell,RB,PIT,85.2,136
84,Travis Kelce,TE,KC,86.7,138
85,Sam LaPorta,TE,DET,88.1,130
86,Garrett Wilson,WR,NYJ,88.4,137
87,Terry McLaurin,WR,WAS,89.4,133
88,Colston Loveland,TE,CHI,89.7,131
89,Jake Ferguson,TE,DAL,91.2,129
90,Mike Evans,WR,,92.3,125
91,Cade Otton,TE,TB,92.6,129
92,Dalton Kincaid,TE,BUF,92.9,136
93,Drew Lock,QB,SEA,93.8,125
94,Dallas Goedert,TE,PHI,94.4,130
95,Khalil Shakir,WR,BUF,95.9,125
96,Luther Burden III,WR,CHI,96.3,128
97,Romeo Doubs,WR,GB,99.9,119
98,Tony Pollard,RB,TEN,100.6,124
99,Michael Pittman,WR,,101.9,134
100,Jakobi Meyers,WR,JAX,101.9,124
101,Bucky Irving,RB,TB,102.0,125
102,Keenan Allen,WR,LAC,103.5,121
103,Jerry Jeudy,WR,CLE,103.6,122
104,Kyler Murray,QB,ARI,105.0,119
105,Jaylen Warren,RB,PIT,105.0,123
106,Tyler Warren,TE,IND,105.4,129
107,Parker Washington,WR,JAX,109.0,114
108,Michael Wilson,WR,ARI,110.0,116
109,James Conner,RB,ARI,110.8,115
110,Courtland Sutton,WR,DEN,111.9,122
111,Jacory Croskey-Merritt,RB,WAS,112.6,116
112,Kyle Monangai,RB,CHI,112.8,116
113,Rachaad White,RB,TB,112.8,112
114,Chimere Dike,WR,TEN,113.8,116
115,Jauan Jennings,WR,SF,114.0,115
116,Tre Tucker,WR,LV,114.5,120
117,Keon Coleman,WR,BUF,115.6,112
118,Tucker Kraft,TE,GB,116.9,116
119,Tyler Shough,QB,NO,117.8,112
120,Christian Watson,WR,GB,118.1,112
121,Aaron Rodgers,QB,PIT,120.1,115
122,Kareem Hunt,RB,KC,125.7,110
123,Tyreek Hill,WR,MIA,126.5,103
124,Dalton Schultz,TE,HOU,127.0,108
125,Mark Andrews,TE,BAL,127.1,109
126,Jayden Reed,WR,GB,127.7,110
127,Carson Wentz,QB,MIN,128.4,102
128,Woody Marks,RB,HOU,129.2,114
129,Mac Jones,QB,SF,129.3,110
130,Kyle Williams,WR,,130.2,101
131,Rhamondre Stevenson,RB,NE,130.9,110
132,AJ Barner,TE,SEA,134.0,102
133,Tyrone Tracy Jr.,RB,NYG,134.1,103
134,Oronde Gadsden II,TE,LAC,134.3,108
135,Elic Ayomanor,WR,TEN,135.6,105
136,J.J. McCarthy,QB,MIN,136.2,100
137,Isaiah Davis,RB,NYJ,137.7,103
138,Juwan Johnson,TE,NO,138.3,104
139,Justin Fields,QB,NYJ,138.4,103
140,Chuba Hubbard,RB,CAR,140.4,97
141,Mason Rudolph,QB,PIT,140.5,99
142,Kayshon Boutte,WR,NE,140.8,94
143,Blake Corum,RB,LA,144.4,99
144,Rico Dowdle,RB,CAR,145.6,97
145,Matthew Golden,WR,GB,145.7,97
146,Tyler Allgeier,RB,ATL,145.8,104
147,Zach Wilson,QB,MIA,146.3,96
148,J.K. Dobbins,RB,DEN,146.5,96
149,Chig Okonkwo,TE,TEN,148.3,92
150,Devin Singletary,RB,NYG,148.5,95
151,Jalen Royals,WR,KC,149.0,95
152,Thomas Fidone II,TE,NYG,152.0,94
153,Bhayshul Tuten,RB,JAX,153.8,87
154,Jacoby Brissett,QB,ARI,153.8,91
155,Zach Ertz,TE,WAS,154.1,94
156,Gardner Minshew,QB,KC,155.7,90
157,Najee Harris,RB,LAC,156.5,93
158,Kimani Vidal,RB,LAC,157.0,92
159,Quinn Ewers,QB,MIA,157.1,92
160,Brashard Smith,RB,KC,157.9,89
161,Shedeur Sanders,QB,CLE,158.5,92
162,Jaylin Noel,WR,HOU,159.1,94
163,Marvin Mims Jr.,WR,DEN,161.0,85
164,Tre Harris,WR,LAC,161.8,89
165,Adonai Mitchell,WR,NYJ,165.7,91
166,Pat Freiermuth,TE,PIT,166.2,82
167,Pat Bryant,WR,DEN,166.3,87
168,Brenton Strange,TE,JAX,166.5,88
169,Aaron Jones,RB,,167.4,84
170,Mason Taylor,TE,NYJ,167.8,82
171,Calvin Ridley,WR,TEN,169.9,82
172,Adam Thielen,WR,PIT,170.6,84
173,Jimmy Garoppolo,QB,LA,171.0,81
174,Nick Chubb,RB,HOU,171.3,82
175,Josh Downs,WR,IND,171.6,85
176,Kenny Pickett,QB,LV,171.8,81
177,Isaac TeSlaa,WR,DET,173.4,90
178,Terrance Ferguson,TE,LA,173.8,85
179,Brian Robinson,RB,SF,177.8,82
