name,position,team,pos_rank,model_total,model_ppg,model_games,model_floor,model_ceiling,sleeper_total,sleeper_ppr_native,sleeper_games,slp_pass_yd,slp_pass_td,slp_pass_int,slp_rush_yd,slp_rush_td,slp_rec,slp_rec_yd,slp_rec_td,slp_fum_lost,diff,diff_pct,abs_diff,sleeper_ppg,ppg_diff,games_diff,pts_from_games_diff,pts_from_ppg_diff
Jeremiyah Love,RB,,140,22.0,2.7,7.9,-2.0,78.0,249.5,249.5,18.0,0.0,0.0,0.0,1090.0,8.0,47.0,355.0,2.0,1.0,-227.5,-91.18236472945893,227.5,13.86111111111111,-11.161111111111111,-10.1,-139.9972222222222,-88.17277777777778
Fernando Mendoza,QB,,81,23.0,3.0,7.6,0.0,67.0,246.7,246.7,18.0,3405.0,22.0,13.0,275.0,2.0,0.0,0.0,0.0,3.0,-223.7,-90.6769355492501,223.7,13.705555555555556,-10.705555555555556,-10.4,-142.5377777777778,-81.36222222222221
Malik Willis,QB,GB,48,61.0,8.4,7.2,40.0,111.0,252.78000000000003,252.78,18.0,2712.0,16.0,9.0,633.0,5.0,0.0,0.0,0.0,2.0,-191.78000000000003,-75.86834401455812,191.78000000000003,14.043333333333335,-5.643333333333334,-10.8,-151.66800000000003,-40.63200000000001
Jordyn Tyson,WR,,229,20.0,2.6,7.6,-2.0,67.0,186.0,186.0,18.0,0.0,0.0,0.0,11.0,0.0,69.0,859.0,5.0,0.0,-166.0,-89.24731182795699,166.0,10.333333333333334,-7.733333333333334,-10.4,-107.46666666666668,-58.77333333333334
Makai Lemon,WR,,218,22.0,2.5,8.8,-5.0,75.0,181.4,181.4,18.0,0.0,0.0,0.0,11.0,0.0,66.0,843.0,5.0,0.0,-159.4,-87.87210584343991,159.4,10.077777777777778,-7.5777777777777775,-9.2,-92.71555555555554,-66.68444444444445
Lamar Jackson,QB,BAL,20,195.0,15.4,12.7,163.0,266.0,317.26,317.26,18.0,3354.0,27.0,8.0,651.0,4.0,0.0,0.0,0.0,4.0,-122.25999999999999,-38.53621635251844,122.25999999999999,17.625555555555554,-2.2255555555555535,-5.300000000000001,-93.41544444444445,-28.26455555555553
Cameron Dicker,K,LAC,1,151.0,9.5,15.8,106.0,173.0,39.0,105.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,287.1794871794872,112.0,2.1666666666666665,7.333333333333334,-2.1999999999999993,-4.766666666666665,115.86666666666667
Riley Patterson,K,MIA,11,118.0,7.7,15.4,88.0,140.0,9.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,1211.111111111111,109.0,0.5,7.2,-2.5999999999999996,-1.2999999999999998,110.88000000000001
Will Reichard,K,MIN,2,140.0,8.8,15.9,102.0,152.0,34.0,105.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,311.7647058823529,106.0,1.8888888888888888,6.911111111111111,-2.0999999999999996,-3.966666666666666,109.88666666666667
Younghoe Koo,K,NYG,19,112.0,8.1,13.8,80.0,132.0,9.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1144.4444444444446,103.0,0.5,7.6,-4.199999999999999,-2.0999999999999996,104.88
Graham Gano,K,NYG,23,109.0,7.4,14.6,79.0,130.0,9.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1111.111111111111,100.0,0.5,6.9,-3.4000000000000004,-1.7000000000000002,100.74000000000001
Kyler Murray,QB,ARI,27,141.0,14.1,10.0,83.0,185.0,240.98000000000002,240.98,18.0,3062.0,17.0,9.0,455.0,3.0,0.0,0.0,0.0,3.0,-99.98000000000002,-41.48892024234377,99.98000000000002,13.387777777777778,0.7122222222222216,-8.0,-107.10222222222222,7.1222222222222165
Bhayshul Tuten,RB,JAX,64,68.0,6.1,11.1,31.0,110.0,167.90000000000003,167.9,18.0,0.0,0.0,0.0,756.0,6.0,30.0,223.0,1.0,1.0,-99.90000000000003,-59.499702203692685,99.90000000000003,9.32777777777778,-3.2277777777777796,-6.9,-64.36166666666668,-35.828333333333354
Tyler Shough,QB,NO,26,162.0,13.2,12.3,106.0,216.0,260.0,260.0,18.0,3525.0,21.0,12.0,330.0,3.0,0.0,0.0,0.0,3.0,-98.0,-37.69230769230769,98.0,14.444444444444445,-1.2444444444444454,-5.699999999999999,-82.33333333333333,-15.306666666666679
Spencer Shrader,K,IND,33,98.0,8.0,12.3,71.0,137.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,,98.0,0.0,8.0,-5.699999999999999,0.0,98.4
Matt Prater,K,BUF,26,107.0,7.5,14.3,75.0,131.0,9.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1088.888888888889,98.0,0.5,7.0,-3.6999999999999993,-1.8499999999999996,100.10000000000001
Brandon Aubrey,K,DAL,3,137.0,9.3,14.7,99.0,164.0,40.0,116.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,242.49999999999997,97.0,2.2222222222222223,7.077777777777778,-3.3000000000000007,-7.333333333333335,104.04333333333334
Saquon Barkley,RB,PHI,23,147.0,12.2,12.0,117.0,226.0,243.5,243.5,18.0,0.0,0.0,0.0,1220.0,8.0,35.0,265.0,2.0,1.0,-96.5,-39.630390143737166,96.5,13.527777777777779,-1.3277777777777793,-6.0,-81.16666666666667,-15.933333333333351
Chris Boswell,K,PIT,5,129.0,8.4,15.3,101.0,149.0,34.0,106.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,279.4117647058823,95.0,1.8888888888888888,6.511111111111111,-2.6999999999999993,-5.099999999999999,99.62
Chuba Hubbard,RB,CAR,54,80.0,6.6,12.2,46.0,151.0,174.1,174.1,18.0,0.0,0.0,0.0,840.0,6.0,30.0,201.0,1.0,1.0,-94.1,-54.04939689833429,94.1,9.672222222222222,-3.072222222222223,-5.800000000000001,-56.0988888888889,-37.48111111111112
Ricky Pearsall,WR,SF,86,79.0,7.7,10.3,40.0,139.0,172.8,172.8,18.0,0.0,0.0,0.0,19.0,0.0,59.0,819.0,5.0,0.0,-93.80000000000001,-54.282407407407405,93.80000000000001,9.600000000000001,-1.9000000000000012,-7.699999999999999,-73.92,-19.570000000000014
Jake Bates,K,DET,4,133.0,8.5,15.6,106.0,147.0,40.0,102.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,232.50000000000003,93.0,2.2222222222222223,6.277777777777778,-2.4000000000000004,-5.333333333333334,97.93333333333332
Christian McCaffrey,RB,SF,9,199.0,18.6,10.7,125.0,261.0,291.0,291.0,18.0,0.0,0.0,0.0,984.0,7.0,70.0,606.0,4.0,2.0,-92.0,-31.615120274914087,92.0,16.166666666666668,2.4333333333333336,-7.300000000000001,-118.01666666666668,26.03666666666667
Devin Singletary,RB,NYG,39,104.0,7.2,14.5,53.0,154.0,12.3,12.3,18.0,0.0,0.0,0.0,41.0,0.0,5.0,32.0,0.0,0.0,91.7,745.5284552845528,91.7,0.6833333333333333,6.516666666666667,-3.5,-2.3916666666666666,94.49166666666666
Chad Ryland,K,ARI,9,123.0,7.8,15.6,101.0,138.0,32.0,89.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,284.375,91.0,1.7777777777777777,6.022222222222222,-2.4000000000000004,-4.2666666666666675,93.94666666666666
Isaiah Likely,TE,BAL,47,61.0,4.8,12.6,29.0,89.0,151.2,151.2,18.0,0.0,0.0,0.0,0.0,0.0,59.0,622.0,5.0,0.0,-90.19999999999999,-59.65608465608465,90.19999999999999,8.399999999999999,-3.5999999999999988,-5.4,-45.35999999999999,-45.359999999999985
Drew Lock,QB,SEA,39,89.0,11.1,8.0,11.0,100.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,,89.0,0.0,11.1,-10.0,0.0,88.8
