player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Jahmyr Gibbs,RB,DET,0.0,1.0,12.0,26.9,28.8,17.1,30.1,14.5,391,248,437,1
Bijan Robinson,RB,ATL,0.0,1.0,8.0,25.2,24.4,15.9,30.1,13.8,349,220,417,2
Josh Allen,QB,BUF,0.0,1.0,7.0,22.2,25.0,16.9,27.7,15.2,337,257,421,1
James Cook,RB,BUF,0.0,2.0,63.0,23.1,18.8,14.6,30.1,13.9,320,203,418,3
Bo Nix,QB,DEN,0.0,1.0,12.0,22.0,19.4,15.9,27.7,14.5,319,230,402,2
Jared Goff,QB,DET,0.0,1.0,1.0,20.4,19.6,15.7,27.0,15.5,317,244,420,3
Patrick Mahomes,QB,KC,0.0,1.0,10.0,21.5,20.7,15.7,27.1,14.7,316,230,397,4
De'Von Achane,RB,MIA,0.0,3.0,84.0,21.5,19.3,13.2,30.1,14.6,314,193,440,4
Jalen Hurts,QB,PHI,0.0,2.0,53.0,21.1,19.4,14.8,27.7,14.5,307,216,403,5
Drake Maye,QB,NE,0.0,1.0,3.0,21.5,19.7,15.0,27.7,14.1,303,211,390,6
Jonathan Taylor,RB,IND,0.0,2.0,41.0,20.9,19.8,16.2,30.1,13.8,289,224,417,5
Ja'Marr Chase,WR,CIN,0.0,1.0,5.0,21.3,21.6,15.9,25.8,13.3,284,211,344,1
Amon-Ra St. Brown,WR,DET,0.0,4.0,112.0,19.8,19.8,15.5,25.8,14.3,283,221,369,2
Jaxson Dart,QB,NYG,0.0,1.0,25.0,19.7,17.9,11.3,26.5,14.1,277,159,372,7
Caleb Williams,QB,CHI,0.0,1.0,1.0,18.8,19.5,14.8,27.7,14.7,276,218,407,8
Dak Prescott,QB,DAL,0.0,4.0,135.0,18.8,18.8,15.2,21.7,14.5,273,221,315,9
Jaxon Smith-Njigba,WR,SEA,0.0,1.0,20.0,25.8,20.0,13.7,25.8,10.6,273,145,273,3
Justin Herbert,QB,LAC,0.0,1.0,6.0,18.8,20.1,15.2,25.0,14.4,270,219,360,10
Brock Purdy,QB,SF,0.0,7.0,262.0,25.4,16.9,10.8,27.7,10.5,267,114,291,11
Trevor Lawrence,QB,JAX,0.0,1.0,1.0,18.8,18.4,15.0,25.5,14.0,264,210,358,12
Ashton Jeanty,RB,LV,0.0,1.0,6.0,17.3,17.0,10.0,29.0,15.2,263,152,441,6
Baker Mayfield,QB,TB,0.0,1.0,1.0,18.7,18.8,14.6,25.6,13.9,259,203,354,13
Derrick Henry,RB,BAL,0.0,2.0,45.0,17.9,17.3,12.3,24.7,13.8,248,170,341,7
TreVeyon Henderson,RB,NE,0.0,2.0,38.0,17.0,15.5,8.6,23.0,14.4,245,123,331,8
Drake London,WR,ATL,0.0,1.0,8.0,17.7,16.2,12.6,21.6,13.4,237,168,289,4
CeeDee Lamb,WR,DAL,0.0,1.0,17.0,17.5,16.3,12.9,25.8,13.3,232,171,342,5
Trey McBride,TE,ARI,0.0,2.0,55.0,17.5,17.8,13.9,20.9,13.1,230,182,273,1
Josh Jacobs,RB,GB,0.0,1.0,24.0,16.7,16.2,12.5,24.2,13.7,229,171,332,9
Brock Bowers,TE,LV,0.0,1.0,13.0,16.7,16.6,12.8,20.1,13.7,229,175,277,2
Chase Brown,RB,CIN,0.0,5.0,163.0,16.1,16.4,12.3,24.4,14.2,228,174,346,10
Christian McCaffrey,RB,SF,0.0,1.0,8.0,26.5,19.3,13.3,30.1,8.6,227,114,258,11
C.J. Stroud,QB,HOU,0.0,1.0,2.0,16.7,16.2,11.6,21.1,13.6,227,158,288,14
Tee Higgins,WR,CIN,0.0,2.0,33.0,16.3,16.4,11.5,25.3,13.8,226,159,350,6
Chris Olave,WR,NO,0.0,1.0,11.0,16.3,15.5,11.8,19.3,13.6,223,161,264,7
George Pickens,WR,DAL,0.0,2.0,52.0,16.7,17.1,12.6,21.3,13.2,221,167,281,8
Javonte Williams,RB,DAL,0.0,2.0,35.0,15.3,14.5,8.1,20.1,14.3,219,115,288,12
Cam Ward,QB,TEN,0.0,1.0,1.0,16.3,15.5,5.3,24.1,13.4,219,72,323,15
Nico Collins,WR,HOU,0.0,3.0,89.0,16.6,14.5,10.8,23.1,13.1,217,142,302,9
Puka Nacua,WR,LAR,0.0,5.0,177.0,17.3,18.5,9.8,25.8,12.4,216,122,321,10
RJ Harvey,RB,DEN,0.0,2.0,60.0,14.6,14.6,8.0,21.4,14.6,213,117,312,13
Tetairoa McMillan,WR,CAR,0.0,1.0,8.0,15.2,14.9,10.1,21.6,13.7,208,139,295,11
Lamar Jackson,QB,BAL,0.0,1.0,32.0,17.1,17.7,11.4,25.6,12.1,207,138,310,16
Daniel Jones,QB,IND,0.0,1.0,6.0,15.5,17.3,11.6,22.2,13.3,207,155,297,17
Emeka Egbuka,WR,TB,0.0,1.0,19.0,14.9,14.9,9.3,21.4,13.9,206,129,296,12
Matthew Stafford,QB,LAR,0.0,1.0,1.0,16.5,16.1,6.0,23.7,12.4,205,75,295,18
Joe Burrow,QB,CIN,0.0,1.0,1.0,19.4,17.3,11.5,27.7,10.6,205,122,294,19
Tyler Warren,TE,IND,0.0,1.0,14.0,14.3,14.0,9.8,18.9,14.3,204,140,270,3
Sam Darnold,QB,SEA,0.0,1.0,3.0,15.4,16.1,11.6,21.8,13.0,200,151,282,20
Carnell Tate,WR,TEN,1.0,1.0,4.0,16.4,13.6,4.3,23.3,12.2,200,53,285,13
