player_display_name,position_group,current_team,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
MIN DST,DST,MIN,6.2,6.1,3.1,8.2,16.0,100,50,131,1
CLE DST,DST,CLE,6.2,5.9,3.6,8.5,16.0,99,57,136,2
HOU DST,DST,HOU,6.1,6.2,4.4,7.8,16.0,98,70,125,3
DEN DST,DST,DEN,5.9,5.9,3.1,8.4,16.0,95,50,135,4
JAX DST,DST,JAX,6.0,5.9,3.2,8.6,15.9,95,50,136,5
PIT DST,DST,PIT,5.9,6.2,3.7,7.8,16.0,95,60,124,6
LAC DST,DST,LAC,5.9,6.3,4.1,7.4,16.0,94,66,118,7
PHI DST,DST,PHI,5.6,6.0,4.0,7.4,16.0,90,63,118,8
ATL DST,DST,ATL,5.4,5.7,4.1,7.5,16.0,87,66,120,9
CHI DST,DST,CHI,5.4,6.2,3.5,8.1,16.0,86,56,129,10
LA DST,DST,LA,5.4,5.8,4.1,7.2,16.0,86,65,115,11
NYG DST,DST,NYG,5.3,5.3,3.2,7.3,16.0,85,51,116,12
SEA DST,DST,SEA,5.2,5.5,4.3,7.2,16.0,83,69,115,13
TEN DST,DST,TEN,5.2,5.2,2.8,7.2,16.0,83,45,116,14
LV DST,DST,LV,5.1,5.0,3.1,7.1,16.0,82,50,113,15
MIA DST,DST,MIA,5.1,4.9,3.6,6.8,16.0,82,57,108,16
IND DST,DST,IND,5.1,5.3,4.1,6.4,16.0,81,66,103,17
TB DST,DST,TB,5.0,5.4,3.9,6.7,16.0,81,63,108,18
NO DST,DST,NO,5.0,5.4,3.3,6.5,16.0,80,53,104,19
WSH DST,DST,WSH,5.0,4.9,3.0,7.8,16.0,80,47,125,20
CAR DST,DST,CAR,5.0,4.9,3.5,7.5,15.9,79,56,120,21
DET DST,DST,DET,4.9,5.4,3.3,7.1,16.0,79,53,113,22
GB DST,DST,GB,4.9,5.4,2.6,7.6,16.0,78,42,121,23
BAL DST,DST,BAL,4.7,4.8,3.3,6.8,16.0,76,52,109,24
SF DST,DST,SF,4.7,4.7,2.2,6.5,16.0,76,35,104,25
BUF DST,DST,BUF,4.6,5.0,3.2,6.8,16.0,74,51,109,26
NE DST,DST,NE,4.6,4.7,2.9,6.8,16.0,73,46,108,27
ARI DST,DST,ARI,4.3,4.6,2.7,6.5,16.0,69,43,104,28
KC DST,DST,KC,4.2,5.0,2.5,7.1,16.0,68,41,114,29
NYJ DST,DST,NYJ,4.1,4.6,1.7,7.6,16.0,66,27,121,30
DAL DST,DST,DAL,4.0,4.6,2.0,7.7,16.0,64,32,122,31
CIN DST,DST,CIN,3.9,3.9,2.5,6.1,16.0,63,40,98,32
