player_display_name,position_group,current_team,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Cameron Dicker,K,LAC,9.5,8.7,6.7,10.9,15.8,151,106,173,1
Will Reichard,K,MIN,8.8,8.5,6.4,9.6,15.9,140,102,152,2
Brandon Aubrey,K,DAL,9.3,8.6,6.7,11.1,14.7,137,99,164,3
Jake Bates,K,DET,8.5,8.3,6.8,9.4,15.6,133,106,147,4
Chris Boswell,K,PIT,8.4,8.4,6.6,9.7,15.3,129,101,149,5
Jason Myers,K,SEA,8.6,8.1,6.4,10.8,14.7,127,94,159,6
Chase McLaughlin,K,TB,8.2,8.0,6.4,9.3,15.2,125,98,142,7
Wil Lutz,K,DEN,7.7,7.8,6.4,9.0,15.9,123,102,143,8
Chad Ryland,K,ARI,7.8,7.6,6.5,8.8,15.6,123,101,138,9
Jake Elliott,K,PHI,7.7,7.9,6.3,8.7,15.8,122,100,138,10
Riley Patterson,K,MIA,7.7,7.9,5.7,9.1,15.4,118,88,140,11
Ka'imi Fairbairn,K,HOU,8.2,7.9,6.4,10.6,14.2,116,90,150,12
Evan McPherson,K,CIN,7.9,7.7,6.5,9.0,14.8,116,96,133,13
Harrison Butker,K,KC,7.8,8.0,5.7,9.0,14.6,114,83,132,15
Cam Little,K,JAX,8.1,7.8,6.5,9.2,14.0,114,90,130,16
Joey Slye,K,TEN,7.1,7.6,5.9,8.8,15.5,110,91,135,18
Blake Grupe,K,IND,7.7,7.9,6.2,8.9,14.4,110,89,128,19
Andre Szmyt,K,CLE,7.6,7.5,5.5,9.3,14.3,109,78,134,22
Cairo Santos,K,CHI,7.8,7.7,6.1,9.4,13.2,103,80,124,24
Eddy Pineiro,K,SF,7.7,7.9,4.5,10.1,13.3,103,59,134,25
Andy Borregales,K,NE,7.7,7.8,6.3,9.1,13.5,103,85,123,26
Ryan Fitzgerald,K,CAR,7.7,7.5,5.6,9.2,13.2,102,74,122,27
Nick Folk,K,ATL,8.0,7.9,5.8,9.7,12.3,99,72,120,29
Spencer Shrader,K,IND,8.0,7.3,5.8,11.2,12.3,98,71,137,30
Tyler Loop,K,BAL,7.2,7.7,5.9,9.0,13.2,96,78,119,33
Ben Sauls,K,NYG,7.5,6.6,5.7,10.6,12.8,96,73,135,34
Matt Gay,K,LV,6.9,7.3,5.4,8.6,13.0,90,71,112,35
Jake Moody,K,WAS,7.2,7.0,5.6,9.6,12.4,89,70,119,37
Lucas Havrisik,K,GB,6.3,6.5,2.8,10.3,12.0,75,34,123,38
Zane Gonzalez,K,MIA,7.7,7.2,5.2,9.4,9.4,72,49,88,39
Harrison Mevis,K,LAR,6.4,6.5,4.0,9.5,8.0,51,32,76,41
