player_display_name,position_group,team,projected_ppg,projected_games,projected_total,pos_rank,total_floor,total_ceiling
Aaron Judge,OF,NYY,4.0,133.1,529,1,348,615
Juan Soto,OF,NYM,3.7,139.8,523,2,355,619
Jose Ramirez,3B,CLE,3.5,143.9,498,1,362,622
Tarik Skubal,SP,DET,17.8,27.0,482,1,336,597
Francisco Lindor,SS,NYM,3.4,142.1,480,1,343,565
Garrett Crochet,SP,BOS,17.9,25.7,460,2,285,550
Kyle Schwarber,DH,PHI,3.4,132.6,454,1,303,562
Ketel Marte,2B,ARI,3.4,132.1,446,1,329,505
Hunter Brown,SP,HOU,15.8,27.9,442,3,300,510
Cristopher Sanchez,SP,PHI,15.7,27.8,437,4,312,549
Shohei Ohtani,DH,LAD,3.6,122.3,436,2,297,529
Vladimir Guerrero,1B,TOR,3.2,134.1,431,1,332,501
Corbin Carroll,OF,ARI,3.2,132.3,429,3,309,543
Jacob deGrom,SP,TEX,15.9,27.0,429,5,279,519
Chris Sale,SP,ATL,16.8,25.4,426,6,240,506
Zack Wheeler,SP,PHI,16.6,25.5,423,7,302,536
Kyle Tucker,OF,CHC,3.4,125.4,422,4,307,526
Bobby Witt,SS,KC,3.2,129.4,418,2,307,515
Paul Skenes,SP,PIT,15.6,26.6,416,8,333,537
Ronald Acuña,OF,ATL,3.4,120.0,408,5,275,477
Logan Webb,SP,SF,15.1,27.0,408,9,292,509
Nathan Eovaldi,SP,TEX,14.7,27.6,406,10,316,519
Junior Caminero,3B,TB,3.0,136.3,404,2,270,563
Brent Rooker,DH,OAK,2.9,136.9,402,3,295,547
Manny Machado,3B,SD,2.9,137.5,401,3,298,487
Cal Raleigh,C,SEA,3.2,124.2,400,1,260,526
Nick Kurtz,1B,OAK,3.2,122.9,399,2,306,496
Max Fried,SP,NYY,14.5,27.4,398,11,282,505
Sonny Gray,SP,STL,14.6,27.2,398,12,277,500
Pete Alonso,1B,NYM,2.9,134.9,397,3,298,505
Bryce Harper,1B,PHI,3.2,122.4,397,4,278,469
Jesus Luzardo,SP,PHI,14.9,26.6,397,13,295,479
Ben Brown,SP,CHC,12.7,30.8,392,14,92,565
Mookie Betts,SS,LAD,3.0,129.2,391,3,290,486
Framber Valdez,SP,HOU,13.5,28.9,389,15,249,484
Cody Bellinger,OF,NYY,3.1,125.4,388,6,290,474
Christian Yelich,DH,MIL,3.1,126.5,387,4,278,467
Logan Gilbert,SP,SEA,14.5,26.6,387,16,259,495
Trea Turner,SS,PHI,3.2,119.3,386,4,268,460
Freddie Freeman,1B,LAD,2.8,135.7,385,5,305,485
Fernando Tatis,OF,SD,3.3,114.9,383,7,257,458
Gunnar Henderson,SS,BAL,3.2,119.1,380,5,244,454
Corey Seager,SS,TEX,2.9,129.9,380,6,305,466
Ranger Suarez,SP,PHI,13.3,28.5,380,17,286,514
Jose Altuve,2B,HOU,2.9,130.0,379,2,281,457
Joe Ryan,SP,MIN,13.7,27.5,376,18,273,473
Rafael Devers,DH,SF,2.9,129.9,375,5,271,478
Bryan Woo,SP,SEA,14.0,26.7,375,19,282,539
Byron Buxton,OF,MIN,3.3,114.2,374,8,249,482
Jarren Duran,OF,BOS,2.9,127.8,372,9,268,451
Kevin Gausman,SP,TOR,12.7,29.1,371,20,278,508
Maikel Garcia,3B,KC,2.7,134.4,369,4,284,449
Kris Bubic,SP,KC,12.8,28.4,363,21,192,505
Alex Bregman,3B,BOS,2.9,124.6,359,5,283,429
George Soriano,RP,MIA,8.3,43.2,358,1,65,481
Ozzie Albies,2B,ATL,2.8,127.5,356,3,246,402
TJ Friedl,OF,CIN,2.7,131.4,356,10,275,411
Julio Rodriguez,OF,SEA,2.6,135.0,356,11,282,490
George Kirby,SP,SEA,12.9,27.6,356,22,289,506
Matt Olson,1B,ATL,2.9,124.1,355,6,281,443
Elly De La Cruz,SS,CIN,2.8,127.0,351,7,260,479
Josh Naylor,1B,SEA,3.0,118.6,350,7,256,460
Mike Soroka,SP,CHC,10.3,34.0,350,23,124,508
Luis Arraez,1B,SD,2.8,125.1,349,8,234,401
Clayton Kershaw,SP,LAD,11.5,30.4,349,24,159,512
Brandon Nimmo,OF,NYM,2.8,125.8,346,12,235,413
Shea Langeliers,C,OAK,2.9,120.5,345,2,236,469
Jurickson Profar,OF,ATL,3.1,111.0,345,13,236,398
Marcus Semien,2B,TEX,2.8,124.3,345,4,240,391
George Springer,DH,TOR,3.0,116.2,345,6,267,460
Matt Chapman,3B,SF,2.7,127.6,343,6,249,423
Jackson Merrill,OF,SD,2.7,129.3,343,14,235,426
Heliot Ramos,OF,SF,2.6,132.2,343,15,252,414
Dylan Cease,SP,SD,11.7,29.4,343,25,197,523
Eduardo Rodriguez,SP,ARI,10.2,33.4,342,26,143,538
Yoshinobu Yamamoto,SP,LAD,13.5,25.4,342,27,277,454
Trevor Story,SS,BOS,2.8,121.5,340,8,214,443
Slade Cecconi,SP,CLE,11.3,30.1,339,28,140,448
Geraldo Perdomo,SS,ARI,2.7,122.6,337,9,261,481
William Contreras,C,MIL,2.6,128.2,336,3,261,426
Clay Holmes,SP,NYM,9.6,35.0,336,29,102,516
Paul Goldschmidt,1B,NYY,2.6,128.0,335,9,183,393
Walker Buehler,SP,PHI,11.0,30.5,335,30,124,506
Alec Burleson,OF,STL,2.6,128.0,334,16,248,390
Jackson Chourio,OF,MIL,2.7,120.7,332,17,225,428
Nico Hoerner,2B,CHC,2.6,128.8,332,5,255,420
Mike Burrows,SP,PIT,9.8,33.7,331,31,98,476
Merrill Kelly,SP,TEX,11.7,28.4,331,32,204,477
Willy Adames,SS,SF,2.6,125.9,330,10,239,446
Daylen Lile,OF,WSN,2.8,118.9,330,18,203,384
Vinnie Pasquantino,1B,KC,2.5,130.2,329,10,255,455
Jose Berrios,SP,TOR,10.9,30.2,328,33,137,427
Spencer Steer,1B,CIN,2.6,125.3,327,11,215,390
Michael Harris,OF,ATL,2.6,124.9,325,19,222,391
Jeremy Peña,SS,HOU,2.7,122.3,325,11,245,429
Freddy Peralta,SP,MIL,11.9,27.3,325,34,221,434
Carlos Correa,SS,HOU,2.6,122.5,324,12,203,374
Andrew Benintendi,OF,CWS,2.7,120.6,322,20,227,367
Brendan Donovan,2B,STL,2.7,119.2,322,6,230,364
Carlos Rodon,SP,NYY,11.7,27.5,322,35,240,448
Nolan Arenado,3B,STL,2.6,121.7,321,7,219,372
Sal Frelick,OF,MIL,2.6,125.4,321,21,222,396
Nick Castellanos,OF,PHI,2.5,128.6,320,22,225,377
J. P. Crawford,SS,SEA,2.5,130.3,320,13,227,381
Jacob Wilson,SS,OAK,2.7,120.5,320,14,228,399
Cade Horton,SP,CHC,11.8,26.9,319,36,147,413
Landen Roupp,SP,SF,10.3,31.0,319,37,121,470
Luis Castillo,SP,SEA,11.2,28.4,318,38,184,465
Nick Lodolo,SP,CIN,11.1,28.6,318,39,219,497
Yandy Diaz,DH,TB,2.7,119.4,317,7,253,404
Lourdes Gurriel,OF,ARI,2.7,117.1,317,23,219,377
Jung Hoo Lee,OF,SF,2.6,121.3,317,24,228,364
Agustín Ramírez,C,MIA,2.5,124.5,317,4,223,391
CJ Abrams,SS,WSN,2.4,130.6,316,15,247,471
Xander Bogaerts,SS,SD,2.6,121.1,316,16,245,369
Willson Contreras,1B,STL,2.7,118.1,316,12,200,396
Salvador Perez,C,KC,2.7,116.8,316,5,202,375
Tyler Soderstrom,OF,OAK,2.6,120.0,316,25,231,381
Aaron Civale,SP,CHC,10.1,31.4,316,40,87,490
Nick Pivetta,SP,SD,11.7,26.9,316,41,264,450
Cade Povich,SP,BAL,10.4,30.4,316,42,103,496
Teoscar Hernandez,OF,LAD,2.7,116.0,315,26,202,394
Alec Bohm,3B,PHI,2.6,122.1,314,8,210,365
