player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Josh Allen,QB,BUF,0.0,1.0,7.0,22.2,25.0,16.9,27.7,15.2,337,257,421,1
Bo Nix,QB,DEN,0.0,1.0,12.0,22.0,19.4,15.9,27.7,14.5,319,230,402,2
Jared Goff,QB,DET,0.0,1.0,1.0,20.4,19.6,15.7,27.0,15.5,317,244,420,3
Patrick Mahomes,QB,KC,0.0,1.0,10.0,21.5,20.7,15.7,27.1,14.7,316,230,397,4
Jalen Hurts,QB,PHI,0.0,2.0,53.0,21.1,19.4,14.8,27.7,14.5,307,216,403,5
Drake Maye,QB,NE,0.0,1.0,3.0,21.5,19.7,15.0,27.7,14.1,303,211,390,6
Jaxson Dart,QB,NYG,0.0,1.0,25.0,19.7,17.9,11.3,26.5,14.1,277,159,372,7
Caleb Williams,QB,CHI,0.0,1.0,1.0,18.8,19.5,14.8,27.7,14.7,276,218,407,8
Dak Prescott,QB,DAL,0.0,4.0,135.0,18.8,18.8,15.2,21.7,14.5,273,221,315,9
Justin Herbert,QB,LAC,0.0,1.0,6.0,18.8,20.1,15.2,25.0,14.4,270,219,360,10
Brock Purdy,QB,SF,0.0,7.0,262.0,25.4,16.9,10.8,27.7,10.5,267,114,291,11
Trevor Lawrence,QB,JAX,0.0,1.0,1.0,18.8,18.4,15.0,25.5,14.0,264,210,358,12
Baker Mayfield,QB,TB,0.0,1.0,1.0,18.7,18.8,14.6,25.6,13.9,259,203,354,13
C.J. Stroud,QB,HOU,0.0,1.0,2.0,16.7,16.2,11.6,21.1,13.6,227,158,288,14
Cam Ward,QB,TEN,0.0,1.0,1.0,16.3,15.5,5.3,24.1,13.4,219,72,323,15
Lamar Jackson,QB,BAL,0.0,1.0,32.0,17.1,17.7,11.4,25.6,12.1,207,138,310,16
Daniel Jones,QB,IND,0.0,1.0,6.0,15.5,17.3,11.6,22.2,13.3,207,155,297,17
Matthew Stafford,QB,LAR,0.0,1.0,1.0,16.5,16.1,6.0,23.7,12.4,205,75,295,18
Joe Burrow,QB,CIN,0.0,1.0,1.0,19.4,17.3,11.5,27.7,10.6,205,122,294,19
Sam Darnold,QB,SEA,0.0,1.0,3.0,15.4,16.1,11.6,21.8,13.0,200,151,282,20
Bryce Young,QB,CAR,0.0,1.0,1.0,15.0,16.5,9.8,17.8,13.2,198,130,235,21
Fernando Mendoza,QB,LV,1.0,1.0,1.0,16.5,14.7,2.6,21.6,11.8,194,31,254,22
Jordan Love,QB,GB,0.0,1.0,26.0,14.7,16.2,9.8,20.3,13.0,190,128,264,23
Aaron Rodgers,QB,PIT,0.0,1.0,24.0,14.6,14.9,10.1,17.4,12.4,180,124,215,24
Jayden Daniels,QB,WAS,0.0,1.0,2.0,17.0,15.7,8.4,27.7,9.9,167,83,274,25
Ty Simpson,QB,LAR,1.0,1.0,13.0,14.0,12.0,1.0,16.5,10.9,153,11,180,26
Tyler Shough,QB,NO,0.0,2.0,40.0,14.0,13.9,2.5,20.4,10.3,144,25,211,27
Mac Jones,QB,SF,0.0,1.0,15.0,11.6,12.0,4.8,16.5,11.0,128,53,182,28
Tua Tagovailoa,QB,ATL,0.0,1.0,5.0,13.0,13.5,1.2,17.6,9.2,119,11,161,29
Jacoby Brissett,QB,ARI,0.0,3.0,91.0,11.5,13.2,2.0,16.9,9.6,111,19,162,30
J.J. McCarthy,QB,MIN,0.0,1.0,10.0,12.6,13.3,0.8,18.8,8.8,111,7,166,31
Michael Penix Jr.,QB,ATL,0.0,1.0,8.0,12.1,11.3,0.7,17.4,9.1,110,7,158,32
Kyler Murray,QB,MIN,0.0,1.0,1.0,12.6,13.3,0.1,21.0,8.2,103,1,172,33
Joe Flacco,QB,CIN,0.0,1.0,18.0,13.4,14.5,2.4,17.7,7.0,93,17,123,35
Geno Smith,QB,NYJ,0.0,2.0,39.0,11.4,12.1,-0.2,17.2,7.6,87,-2,132,36
Justin Fields,QB,KC,0.0,1.0,11.0,10.8,13.0,0.4,17.4,7.9,86,3,138,37
Anthony Richardson,QB,IND,0.0,1.0,4.0,11.5,10.7,-0.4,16.1,7.5,86,-3,120,38
Marcus Mariota,QB,WAS,0.0,1.0,2.0,10.5,9.9,0.0,16.5,7.9,83,0,130,40
Jameis Winston,QB,NYG,0.0,1.0,1.0,11.4,13.4,2.0,17.2,7.2,82,14,125,41
Shedeur Sanders,QB,CLE,0.0,5.0,144.0,11.3,9.9,-0.5,16.6,6.0,68,-3,99,42
Davis Mills,QB,HOU,0.0,3.0,67.0,11.5,10.6,-0.1,15.0,5.9,67,-1,88,43
Kirk Cousins,QB,LV,0.0,4.0,102.0,10.0,10.1,-0.5,16.4,6.5,66,-4,107,44
Carson Wentz,QB,MIN,0.0,1.0,2.0,11.1,10.2,0.2,17.4,5.7,64,1,100,45
Drew Lock,QB,SEA,0.0,2.0,42.0,9.7,6.0,-2.2,13.2,6.3,61,-14,83,46
Spencer Rattler,QB,NO,0.0,5.0,150.0,8.3,5.1,-2.2,15.7,6.5,55,-14,103,47
Malik Willis,QB,MIA,0.0,3.0,86.0,8.4,8.5,-0.5,15.0,5.5,46,-3,83,48
Dillon Gabriel,QB,CLE,0.0,3.0,94.0,4.2,4.2,-2.1,13.4,10.3,43,-22,138,49
Drew Allar,QB,PIT,1.0,3.0,76.0,4.3,2.0,-1.9,13.2,8.1,35,-16,106,50
Andy Dalton,QB,PHI,0.0,2.0,35.0,6.7,5.3,-2.2,13.8,4.7,32,-10,65,51
Zach Wilson,QB,NO,0.0,1.0,2.0,4.3,2.5,-1.5,13.5,4.8,20,-7,64,53
Mason Rudolph,QB,PIT,0.0,3.0,76.0,3.4,2.4,-2.2,14.2,4.4,15,-10,62,54
Trey Lance,QB,LAC,0.0,1.0,3.0,2.8,2.5,-1.9,13.6,5.2,14,-10,71,55
Kenny Pickett,QB,CAR,0.0,1.0,20.0,2.8,1.0,-2.2,14.2,3.5,10,-8,51,56
Mitchell Trubisky,QB,TEN,0.0,1.0,2.0,4.7,-0.2,-2.2,14.7,1.9,9,-4,28,57
Cade Klubnik,QB,NYJ,1.0,4.0,110.0,1.0,0.7,-2.2,11.4,6.9,7,-15,79,58
Quinn Ewers,QB,MIA,0.0,7.0,231.0,0.9,1.0,-2.2,12.5,5.6,5,-12,71,59
Gardner Minshew,QB,ARI,0.0,6.0,178.0,1.2,-0.4,-2.2,11.3,3.5,4,-8,40,60
Adrian Martinez,QB,SF,0.0,,,1.0,-0.0,-2.2,10.7,3.9,4,-9,42,61
Brady Cook,QB,NYJ,0.0,,,0.9,0.0,-2.2,10.5,4.6,4,-10,49,62
Taylen Green,QB,CLE,1.0,6.0,182.0,0.6,-0.5,-2.2,9.9,6.9,4,-15,68,63
Jake Browning,QB,TB,0.0,,,0.9,0.9,-2.2,13.6,3.2,3,-7,44,64
Chris Oladokun,QB,KC,0.0,7.0,241.0,0.6,-0.1,-2.2,10.1,4.7,3,-10,48,65
Joe Milton III,QB,DAL,0.0,6.0,193.0,0.7,-1.8,-2.2,10.4,4.3,3,-9,44,66
Jalen Milroe,QB,SEA,0.0,3.0,92.0,0.6,-0.2,-2.2,11.5,5.8,3,-13,67,67
Nick Mullens,QB,JAX,0.0,,,0.7,-1.1,-2.2,4.0,2.7,2,-6,11,68
Tyler Huntley,QB,BAL,0.0,,,0.6,2.0,-2.2,11.4,2.9,2,-6,34,69
Jalon Daniels,QB,TB,1.0,,,0.4,-0.4,-2.2,9.7,4.9,2,-11,47,70
Tyrod Taylor,QB,GB,0.0,6.0,180.0,0.2,0.7,-2.2,13.8,3.7,1,-8,51,71
Tanner McKee,QB,PHI,0.0,6.0,188.0,-0.1,0.0,-2.2,10.7,5.2,0,-12,56,73
Tyson Bagent,QB,CHI,0.0,,,0.0,-2.0,-2.2,9.5,3.6,0,-8,34,74
Kedon Slovis,QB,ARI,0.0,,,-0.1,-2.1,-2.2,7.6,5.0,0,-11,38,75
Luke Altmyer,QB,DET,1.0,,,-0.1,-0.5,-2.2,8.6,3.7,0,-8,32,76
Joe Fagnano,QB,BAL,1.0,,,-0.2,-2.0,-2.2,6.0,1.7,0,-4,10,77
Garrett Nussmeier,QB,KC,1.0,7.0,249.0,-0.1,-1.9,-2.2,8.3,4.1,0,-9,34,78
Josh Johnson,QB,CIN,0.0,5.0,160.0,-2.1,-0.5,-2.2,7.7,0.7,-1,-2,5,80
Kyle Allen,QB,BUF,0.0,,,-0.8,-2.2,-2.2,6.6,1.0,-1,-2,7,81
Jarrett Stidham,QB,DEN,0.0,4.0,133.0,-0.3,-1.5,-2.2,2.5,3.8,-1,-8,9,82
Riley Leonard,QB,IND,0.0,6.0,189.0,-0.2,-0.4,-2.2,8.1,4.7,-1,-10,38,84
Max Brosmer,QB,MIN,0.0,,,-0.4,-2.2,-2.2,4.8,3.8,-1,-8,18,85
Teddy Bridgewater,QB,DET,0.0,1.0,32.0,-0.8,-0.1,-2.2,10.8,2.9,-2,-6,31,87
Behren Morton,QB,NE,1.0,7.0,234.0,-0.4,-2.0,-2.2,7.4,4.2,-2,-9,31,90
