player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Jahmyr Gibbs,RB,DET,0.0,1.0,12.0,26.9,28.8,17.1,30.1,14.5,391,248,437,1
Bijan Robinson,RB,ATL,0.0,1.0,8.0,25.2,24.4,15.9,30.1,13.8,349,220,417,2
James Cook,RB,BUF,0.0,2.0,63.0,23.1,18.8,14.6,30.1,13.9,320,203,418,3
De'Von Achane,RB,MIA,0.0,3.0,84.0,21.5,19.3,13.2,30.1,14.6,314,193,440,4
Jonathan Taylor,RB,IND,0.0,2.0,41.0,20.9,19.8,16.2,30.1,13.8,289,224,417,5
Ashton Jeanty,RB,LV,0.0,1.0,6.0,17.3,17.0,10.0,29.0,15.2,263,152,441,6
Derrick Henry,RB,BAL,0.0,2.0,45.0,17.9,17.3,12.3,24.7,13.8,248,170,341,7
TreVeyon Henderson,RB,NE,0.0,2.0,38.0,17.0,15.5,8.6,23.0,14.4,245,123,331,8
Josh Jacobs,RB,GB,0.0,1.0,24.0,16.7,16.2,12.5,24.2,13.7,229,171,332,9
Chase Brown,RB,CIN,0.0,5.0,163.0,16.1,16.4,12.3,24.4,14.2,228,174,346,10
Christian McCaffrey,RB,SF,0.0,1.0,8.0,26.5,19.3,13.3,30.1,8.6,227,114,258,11
Javonte Williams,RB,DAL,0.0,2.0,35.0,15.3,14.5,8.1,20.1,14.3,219,115,288,12
RJ Harvey,RB,DEN,0.0,2.0,60.0,14.6,14.6,8.0,21.4,14.6,213,117,312,13
Breece Hall,RB,NYJ,0.0,2.0,36.0,14.3,14.3,9.9,17.3,13.9,198,137,240,14
Quinshon Judkins,RB,CLE,0.0,2.0,36.0,14.7,14.8,7.0,20.6,13.5,198,95,277,15
D'Andre Swift,RB,CHI,0.0,2.0,35.0,13.8,14.1,10.8,17.8,14.1,194,152,250,16
Jaylen Warren,RB,PIT,0.0,,,13.4,12.5,6.4,16.5,14.5,194,93,240,17
Saquon Barkley,RB,PHI,0.0,1.0,2.0,14.5,14.7,9.2,30.1,12.6,184,116,381,18
Jeremiyah Love,RB,ARI,1.0,1.0,3.0,15.7,14.6,4.5,19.9,11.6,182,52,230,19
Zach Charbonnet,RB,SEA,0.0,2.0,52.0,12.3,12.5,5.5,16.0,14.7,181,81,236,20
Kyren Williams,RB,LAR,0.0,5.0,164.0,14.3,14.1,5.2,23.0,12.5,179,65,289,21
Omarion Hampton,RB,LAC,0.0,1.0,22.0,13.0,13.4,5.2,19.4,12.3,159,64,239,22
Travis Etienne,RB,NO,0.0,1.0,25.0,12.8,12.3,6.4,17.9,12.2,156,78,218,23
Bucky Irving,RB,TB,0.0,4.0,125.0,13.5,13.2,7.3,21.2,11.5,156,84,243,24
Tony Pollard,RB,TEN,0.0,4.0,128.0,11.2,10.4,4.9,15.8,13.4,151,66,211,25
J.K. Dobbins,RB,DEN,0.0,2.0,55.0,12.6,11.1,3.8,16.2,10.5,132,39,170,26
Kyle Monangai,RB,CHI,0.0,7.0,233.0,9.7,7.4,2.0,14.9,13.4,130,27,200,27
Alvin Kamara,RB,NO,0.0,3.0,67.0,9.6,10.7,4.0,15.4,13.3,127,53,205,28
Kenneth Walker III,RB,KC,0.0,2.0,41.0,10.1,10.5,4.4,16.7,12.5,127,55,209,29
Jadarian Price,RB,SEA,1.0,1.0,32.0,10.8,10.7,2.5,14.7,11.7,126,29,172,30
Tyrone Tracy Jr.,RB,NYG,0.0,5.0,166.0,9.1,8.5,3.3,14.6,13.3,121,43,193,31
Woody Marks,RB,HOU,0.0,4.0,116.0,8.9,10.1,2.2,15.9,13.4,120,30,214,32
James Conner,RB,ARI,0.0,3.0,105.0,12.1,10.1,3.3,16.2,9.9,119,33,160,33
Cam Skattebo,RB,NYG,0.0,4.0,105.0,12.0,11.2,2.6,18.5,9.8,117,25,181,34
Kenny Gainwell,RB,TB,0.0,5.0,150.0,9.5,9.1,5.4,14.5,12.1,115,65,175,35
David Montgomery,RB,HOU,0.0,3.0,73.0,9.1,8.1,2.1,15.3,12.3,113,26,189,36
Jacory Croskey-Merritt,RB,WAS,0.0,7.0,245.0,8.6,8.0,2.0,14.6,12.7,109,25,185,37
Rhamondre Stevenson,RB,NE,0.0,4.0,120.0,9.1,9.2,4.0,14.7,11.8,107,47,174,38
Chuba Hubbard,RB,CAR,0.0,4.0,126.0,8.4,8.0,2.9,14.4,12.4,103,36,179,40
Devin Singletary,RB,NYG,0.0,3.0,74.0,6.7,4.2,0.5,12.3,14.1,94,7,174,41
Rico Dowdle,RB,PIT,0.0,,,8.3,10.4,5.4,15.3,11.2,93,60,171,42
Blake Corum,RB,LAR,0.0,3.0,83.0,7.8,5.3,0.0,13.6,11.9,93,0,162,43
Bhayshul Tuten,RB,JAX,0.0,4.0,104.0,7.4,5.8,0.8,11.4,12.4,92,10,142,44
Tyjae Spears,RB,TEN,0.0,3.0,81.0,7.4,6.4,1.5,14.6,11.9,88,18,174,45
Aaron Jones,RB,MIN,0.0,5.0,182.0,7.4,6.5,2.9,14.3,11.4,84,33,162,46
Dylan Sampson,RB,CLE,0.0,4.0,126.0,6.8,5.8,0.5,12.8,12.3,84,7,157,47
Kimani Vidal,RB,LAC,0.0,6.0,181.0,7.5,6.5,0.4,15.6,10.9,82,5,170,48
Jordan Mason,RB,MIN,0.0,,,6.2,6.0,0.0,13.6,12.6,79,0,171,49
Rachaad White,RB,WAS,0.0,3.0,91.0,6.1,6.3,0.1,14.3,12.5,76,2,178,50
