player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Trey McBride,TE,ARI,0.0,2.0,55.0,17.5,17.8,13.9,20.9,13.1,230,182,273,1
Brock Bowers,TE,LV,0.0,1.0,13.0,16.7,16.6,12.8,20.1,13.7,229,175,277,2
Tyler Warren,TE,IND,0.0,1.0,14.0,14.3,14.0,9.8,18.9,14.3,204,140,270,3
Harold Fannin Jr.,TE,CLE,0.0,3.0,67.0,14.3,13.6,7.5,19.1,13.8,199,103,265,4
Kyle Pitts,TE,ATL,0.0,1.0,4.0,13.0,13.5,9.8,16.6,14.3,185,140,237,5
Colston Loveland,TE,CHI,0.0,1.0,10.0,12.8,12.9,6.4,17.5,14.0,179,90,246,6
Travis Kelce,TE,KC,0.0,3.0,63.0,11.9,12.2,8.8,14.2,14.3,170,127,204,7
George Kittle,TE,SF,0.0,5.0,146.0,13.5,14.7,10.2,17.1,11.7,158,119,200,8
Jake Ferguson,TE,DAL,0.0,4.0,129.0,11.5,10.8,7.0,14.7,13.5,155,94,197,9
Hunter Henry,TE,NE,0.0,2.0,35.0,11.1,11.1,6.4,13.5,13.0,145,83,177,10
Juwan Johnson,TE,NO,0.0,,,10.5,10.0,5.1,13.8,13.4,141,68,185,11
Kenyon Sadiq,TE,NYJ,1.0,1.0,16.0,10.7,10.1,4.0,14.7,13.1,140,52,192,12
Tucker Kraft,TE,GB,0.0,3.0,78.0,11.5,12.3,8.3,17.3,12.0,138,99,207,13
Dalton Kincaid,TE,BUF,0.0,1.0,25.0,11.0,11.4,6.0,14.6,12.5,137,75,182,14
Dallas Goedert,TE,PHI,0.0,2.0,49.0,10.8,12.3,7.2,13.7,12.5,135,89,171,15
T.J. Hockenson,TE,MIN,0.0,1.0,8.0,10.4,9.2,3.6,13.4,12.8,133,46,172,16
