player_display_name,position_group,current_team,is_rookie,draft_round,draft_number,projected_ppg,ppg_median,ppg_floor,ppg_ceiling,projected_games,projected_total,total_floor,total_ceiling,pos_rank
Ja'Marr Chase,WR,CIN,0.0,1.0,5.0,21.3,21.6,15.9,25.8,13.3,284,211,344,1
Amon-Ra St. Brown,WR,DET,0.0,4.0,112.0,19.8,19.8,15.5,25.8,14.3,283,221,369,2
Jaxon Smith-Njigba,WR,SEA,0.0,1.0,20.0,25.8,20.0,13.7,25.8,10.6,273,145,273,3
Drake London,WR,ATL,0.0,1.0,8.0,17.7,16.2,12.6,21.6,13.4,237,168,289,4
CeeDee Lamb,WR,DAL,0.0,1.0,17.0,17.5,16.3,12.9,25.8,13.3,232,171,342,5
Tee Higgins,WR,CIN,0.0,2.0,33.0,16.3,16.4,11.5,25.3,13.8,226,159,350,6
Chris Olave,WR,NO,0.0,1.0,11.0,16.3,15.5,11.8,19.3,13.6,223,161,264,7
George Pickens,WR,DAL,0.0,2.0,52.0,16.7,17.1,12.6,21.3,13.2,221,167,281,8
Nico Collins,WR,HOU,0.0,3.0,89.0,16.6,14.5,10.8,23.1,13.1,217,142,302,9
Puka Nacua,WR,LAR,0.0,5.0,177.0,17.3,18.5,9.8,25.8,12.4,216,122,321,10
Tetairoa McMillan,WR,CAR,0.0,1.0,8.0,15.2,14.9,10.1,21.6,13.7,208,139,295,11
Emeka Egbuka,WR,TB,0.0,1.0,19.0,14.9,14.9,9.3,21.4,13.9,206,129,296,12
Carnell Tate,WR,TEN,1.0,1.0,4.0,16.4,13.6,4.3,23.3,12.2,200,53,285,13
Malik Nabers,WR,NYG,0.0,1.0,6.0,14.8,13.1,6.0,21.3,12.9,192,78,276,14
Rashee Rice,WR,KC,0.0,2.0,55.0,15.9,13.8,7.3,25.8,11.9,188,86,306,15
Jameson Williams,WR,DET,0.0,1.0,12.0,13.6,14.9,9.5,17.5,13.4,182,128,234,16
Ladd McConkey,WR,LAC,0.0,2.0,34.0,13.4,13.1,9.2,15.0,13.6,182,126,204,17
DeVonta Smith,WR,PHI,0.0,1.0,10.0,13.4,14.2,9.0,17.1,13.3,178,119,228,18
Michael Wilson,WR,ARI,0.0,3.0,94.0,12.8,11.5,8.6,16.3,13.9,178,119,227,19
Zay Flowers,WR,BAL,0.0,1.0,22.0,13.2,13.2,10.8,17.8,13.4,177,145,237,20
Justin Jefferson,WR,MIN,0.0,1.0,22.0,12.7,13.9,6.1,20.2,13.9,176,84,281,21
Garrett Wilson,WR,NYJ,0.0,1.0,10.0,13.7,13.7,9.1,19.1,12.4,171,114,238,22
Davante Adams,WR,LAR,0.0,2.0,53.0,13.9,13.4,5.6,22.7,12.2,170,69,277,23
A.J. Brown,WR,NE,0.0,2.0,51.0,12.5,13.2,8.3,17.8,13.3,166,111,237,25
DK Metcalf,WR,PIT,0.0,2.0,64.0,12.1,11.8,7.7,16.3,13.3,162,102,218,26
Jayden Higgins,WR,HOU,0.0,2.0,34.0,11.4,11.0,3.1,14.9,14.1,162,44,211,27
Brian Thomas Jr.,WR,JAX,0.0,1.0,23.0,11.9,12.1,6.0,16.3,13.4,160,80,219,28
Rome Odunze,WR,CHI,0.0,1.0,9.0,11.9,12.1,8.3,18.2,13.4,160,112,244,29
