# Roster overrides for 2026 projections (auto-generated + manual edits)
# Edit this file to reflect trades, cuts, signings, and retirements.
# Columns: player_name, team, position, status
#   status: ACT = active, TRADE = moved teams, CUT = released, RET = retired
# Lines starting with # are ignored. Re-run update_rosters.py to refresh.
player_name,team,position,status
Aaron Rodgers,PIT,QB,ACT
Adrian Martinez,SF,QB,DEV
Aidan O'Connell,LV,QB,ACT
Andy Dalton,CAR,QB,ACT
Anthony Richardson,IND,QB,RES
Austin Reed,CHI,QB,CUT
Bailey Zappe,CLE,QB,DEV
Baker Mayfield,TB,QB,ACT
Ben DiNucci,DEN,QB,DEV
Ben Wooldridge,NE,QB,CUT
Bo Nix,DEN,QB,RES
Brady Cook,NYJ,QB,ACT
Brandon Allen,TEN,QB,ACT
Brett Rypien,MIN,QB,INA
Brock Purdy,SF,QB,ACT
Bryce Perkins,CAR,QB,CUT
Bryce Young,CAR,QB,ACT
C.J. Beathard,DET,QB,DEV
C.J. Stroud,HOU,QB,ACT
Caleb Williams,CHI,QB,ACT
Cam Miller,MIA,QB,INA
Cam Ward,TEN,QB,ACT
Carson Wentz,MIN,QB,RES
Carter Bradley,JAX,QB,DEV
Case Keenum,CHI,QB,INA
Chris Oladokun,KC,QB,ACT
Clayton Tune,GB,QB,CUT
Connor Bazelak,TB,QB,INA
Cooper Rush,BAL,QB,INA
DJ Uiagalelei,LAC,QB,DEV
Dak Prescott,DAL,QB,ACT
Daniel Jones,IND,QB,RES
Davis Mills,HOU,QB,ACT
Derek Carr,NO,QB,RET
Deshaun Watson,CLE,QB,RES
Desmond Ridder,GB,QB,INA
Devin Leary,BAL,QB,CUT
Dillon Gabriel,CLE,QB,ACT
Dorian Thompson-Robinson,PHI,QB,CUT
Drake Maye,NE,QB,ACT
Dresser Winn,LA,QB,CUT
Drew Lock,SEA,QB,ACT
Easton Stick,ATL,QB,ACT
Emory Jones,ATL,QB,RES
Gardner Minshew,KC,QB,RES
Geno Smith,LV,QB,INA
Graham Mertz,HOU,QB,INA
Hendon Hooker,NYJ,QB,ACT
Hunter Dekkers,NO,QB,DEV
J.J. McCarthy,MIN,QB,ACT
Jack Plummer,CAR,QB,CUT
Jacoby Brissett,ARI,QB,ACT
Jake Browning,CIN,QB,INA
Jake Haener,NO,QB,ACT
Jalen Hurts,PHI,QB,ACT
Jalen Milroe,SEA,QB,INA
Jameis Winston,NYG,QB,ACT
Jared Goff,DET,QB,ACT
Jarrett Stidham,DEN,QB,ACT
Jason Bean,IND,QB,CUT
Jaxson Dart,NYG,QB,ACT
Jayden Daniels,WAS,QB,INA
Jeff Driskel,WAS,QB,ACT
Jimmy Garoppolo,LA,QB,ACT
Joe Burrow,CIN,QB,ACT
Joe Flacco,CIN,QB,ACT
Joe Milton III,DAL,QB,ACT
John Wolford,MIN,QB,INA
Jordan Love,GB,QB,ACT
Jordan Travis,NYJ,QB,RET
Josh Allen,BUF,QB,ACT
Josh Johnson,WAS,QB,ACT
