player_display_name,position_group,current_team,projected_ppg,projected_games,projected_total,pos_rank
Jared Goff,QB,DET,18.8,12.0,226,1
Ja'Marr Chase,WR,CIN,15.8,14.1,223,1
Josh Allen,QB,,19.2,11.5,221,2
Amon-Ra St. Brown,WR,DET,17.0,12.8,218,2
Patrick Mahomes,QB,KC,18.1,12.0,217,3
Jalen Hurts,QB,PHI,17.8,11.2,200,4
Jahmyr Gibbs,RB,DET,15.9,11.7,187,2
Puka Nacua,WR,LA,13.9,13.2,184,3
Jaxon Smith-Njigba,WR,SEA,16.6,10.8,179,4
Derrick Henry,RB,BAL,14.6,12.1,177,3
Dak Prescott,QB,DAL,15.0,11.7,176,5
Bo Nix,QB,DEN,16.0,11.0,176,6
Christian McCaffrey,RB,SF,14.3,12.2,174,4
Joe Burrow,QB,CIN,14.6,11.7,171,7
Baker Mayfield,QB,TB,15.0,11.2,169,8
Caleb Williams,QB,CHI,14.7,11.5,169,9
Justin Herbert,QB,LAC,15.0,11.1,167,10
Trevor Lawrence,QB,JAX,15.3,11.0,167,11
Bijan Robinson,RB,ATL,15.4,10.6,164,5
Saquon Barkley,RB,PHI,12.6,12.5,158,6
Jonathan Taylor,RB,IND,13.6,11.5,156,7
A.J. Brown,WR,PHI,12.5,12.4,155,6
Matthew Stafford,QB,LA,14.0,11.0,153,12
James Cook,RB,BUF,13.6,11.2,152,8
Zay Flowers,WR,BAL,12.4,12.3,152,7
Trey McBride,TE,ARI,13.0,11.5,150,1
Lamar Jackson,QB,BAL,15.1,9.8,148,13
George Pickens,WR,DAL,12.7,11.6,148,8
Justin Jefferson,WR,MIN,13.0,11.1,144,9
Jameson Williams,WR,DET,12.5,11.4,143,10
Drake Maye,QB,NE,13.1,10.9,143,14
Tee Higgins,WR,CIN,11.6,11.9,138,11
DeVonta Smith,WR,PHI,11.4,12.0,137,12
Rashee Rice,WR,KC,11.4,12.0,137,13
Sam Darnold,QB,SEA,12.4,10.7,134,15
Brock Purdy,QB,SF,14.7,9.0,133,16
Wan'Dale Robinson,WR,NYG,10.7,12.4,133,15
CeeDee Lamb,WR,DAL,13.1,10.1,132,16
Davante Adams,WR,LA,12.3,10.6,131,17
Stefon Diggs,WR,NE,10.5,12.3,129,19
Drake London,WR,ATL,11.4,11.4,129,20
Chase Brown,RB,CIN,10.6,11.9,127,9
Kyren Williams,RB,LA,11.4,10.8,123,10
Ladd McConkey,WR,LAC,10.1,11.7,119,21
DK Metcalf,WR,PIT,11.3,10.4,118,22
