player_display_name,position_group,current_team,projected_ppg,projected_games,projected_total,pos_rank
Josh Allen,QB,,18.7,12.7,237,1
Jared Goff,QB,DET,17.7,12.6,223,2
Patrick Mahomes,QB,KC,16.6,12.3,205,3
Jalen Hurts,QB,PHI,18.4,10.8,199,4
Bo Nix,QB,DEN,16.6,11.4,189,5
Matthew Stafford,QB,LA,16.4,11.5,188,6
Drake Maye,QB,NE,16.2,11.0,179,7
Dak Prescott,QB,DAL,14.9,12.0,178,8
Joe Burrow,QB,CIN,16.3,10.4,170,9
Trevor Lawrence,QB,JAX,15.2,11.2,170,10
Caleb Williams,QB,CHI,14.9,11.0,163,11
Brock Purdy,QB,SF,15.6,9.9,155,12
Lamar Jackson,QB,BAL,15.7,9.4,147,13
Justin Herbert,QB,LAC,15.6,9.4,147,14
Baker Mayfield,QB,TB,14.9,8.7,130,15
Sam Darnold,QB,SEA,12.1,10.4,126,16
Anthony Richardson,QB,IND,10.6,11.5,122,17
Daniel Jones,QB,IND,13.1,9.0,118,18
C.J. Stroud,QB,HOU,11.8,9.3,109,20
Jaxson Dart,QB,NYG,11.2,9.5,107,22
Gardner Minshew,QB,KC,9.3,11.3,105,23
Aaron Rodgers,QB,PIT,9.8,9.5,93,24
Drew Lock,QB,SEA,10.7,8.6,92,25
Mason Rudolph,QB,PIT,10.1,8.5,86,26
Jordan Love,QB,GB,9.5,9.1,86,28
Jimmy Garoppolo,QB,LA,8.0,9.9,79,29
Bryce Young,QB,CAR,9.2,8.6,79,30
Cam Ward,QB,TEN,8.8,8.5,75,33
Jacoby Brissett,QB,ARI,8.6,8.2,71,34
Jameis Winston,QB,NYG,8.1,8.6,70,35
Kirk Cousins,QB,ATL,7.7,8.9,68,36
Zach Wilson,QB,MIA,8.4,7.9,66,37
Carson Wentz,QB,MIN,7.3,8.7,63,38
Joshua Dobbs,QB,NE,9.1,6.4,58,39
Mac Jones,QB,SF,8.5,6.8,58,40
Joe Flacco,QB,CIN,9.0,6.2,56,41
Kyler Murray,QB,ARI,9.2,6.0,55,42
Justin Fields,QB,NYJ,7.0,7.8,54,43
Andy Dalton,QB,CAR,8.9,5.7,51,44
Tyler Huntley,QB,BAL,8.0,6.4,51,45
Tyler Shough,QB,NO,6.8,7.0,48,46
Tanner McKee,QB,PHI,7.7,6.1,47,47
Kyle Allen,QB,DET,7.1,6.3,44,49
Malik Willis,QB,GB,8.1,5.4,44,50
Mitchell Trubisky,QB,BUF,5.6,7.1,40,53
Jarrett Stidham,QB,DEN,6.8,5.9,40,54
Dillon Gabriel,QB,CLE,5.6,7.0,39,55
Quinn Ewers,QB,MIA,6.9,5.4,37,56
Teddy Bridgewater,QB,TB,7.2,4.7,34,58
Adrian Martinez,QB,,6.1,5.4,33,59
Kedon Slovis,QB,ARI,5.1,6.3,33,60
Josh Johnson,QB,,6.9,4.7,32,61
Michael Penix Jr.,QB,ATL,5.2,6.1,32,62
Nick Mullens,QB,JAX,6.0,5.2,31,63
Kenny Pickett,QB,LV,5.9,4.7,28,65
Tyson Bagent,QB,CHI,5.0,5.7,28,66
J.J. McCarthy,QB,MIN,5.7,4.8,28,67
Shedeur Sanders,QB,CLE,6.2,4.4,27,68
Riley Leonard,QB,IND,5.2,4.3,23,70
Davis Mills,QB,HOU,6.2,3.5,22,71
Trey Lance,QB,LAC,6.4,3.2,21,72
Chris Oladokun,QB,KC,5.9,3.3,19,73
Max Brosmer,QB,MIN,4.0,4.6,19,74
Joe Milton III,QB,DAL,3.9,4.6,18,75
Brady Cook,QB,NYJ,4.9,2.8,14,78
