player_display_name,position_group,current_team,projected_ppg,projected_games,projected_total,pos_rank
Amon-Ra St. Brown,WR,DET,16.1,13.9,225,1
Puka Nacua,WR,LA,14.4,13.4,193,2
Jaxon Smith-Njigba,WR,SEA,16.0,11.8,190,3
Ja'Marr Chase,WR,CIN,13.8,13.7,189,4
George Pickens,WR,DAL,12.0,12.8,153,6
A.J. Brown,WR,PHI,12.1,12.4,150,8
Drake London,WR,ATL,12.0,12.5,150,10
Zay Flowers,WR,BAL,11.5,13.0,150,11
DeVonta Smith,WR,PHI,11.4,12.9,148,12
CeeDee Lamb,WR,DAL,13.3,10.9,145,13
Stefon Diggs,WR,NE,11.1,12.7,140,14
Ladd McConkey,WR,LAC,10.2,13.2,135,15
Davante Adams,WR,LA,11.9,11.1,133,16
Jameson Williams,WR,DET,11.2,11.8,132,17
Tee Higgins,WR,CIN,11.7,11.1,131,18
DK Metcalf,WR,PIT,10.8,12.0,129,19
Courtland Sutton,WR,DEN,11.0,11.0,121,20
Keenan Allen,WR,LAC,9.4,12.6,119,21
Justin Jefferson,WR,MIN,12.3,9.5,117,22
DJ Moore,WR,CHI,9.2,12.6,116,23
Deebo Samuel Sr.,WR,WAS,9.6,11.9,114,24
Michael Pittman,WR,,9.3,12.0,112,25
Jordan Addison,WR,MIN,9.7,11.6,112,26
Rashee Rice,WR,KC,10.7,10.5,112,27
Brian Thomas Jr.,WR,JAX,9.0,12.4,112,28
Alec Pierce,WR,IND,9.4,11.8,111,29
Wan'Dale Robinson,WR,NYG,9.6,11.6,111,30
Jauan Jennings,WR,SF,10.5,10.3,109,31
Khalil Shakir,WR,BUF,8.8,12.4,109,32
Romeo Doubs,WR,GB,8.5,12.9,109,33
Jakobi Meyers,WR,JAX,9.7,10.8,105,34
Tetairoa McMillan,WR,CAR,9.4,11.1,104,35
Chris Godwin Jr.,WR,TB,9.3,11.1,103,36
Quentin Johnston,WR,LAC,9.1,11.4,103,37
Mike Evans,WR,,9.4,10.3,97,38
Marvin Harrison Jr.,WR,ARI,9.1,10.7,97,39
Michael Wilson,WR,ARI,8.0,11.9,94,40
Terry McLaurin,WR,WAS,7.8,11.8,91,41
Rome Odunze,WR,CHI,9.0,10.2,91,42
Christian Watson,WR,GB,8.3,10.7,89,43
Malik Nabers,WR,NYG,10.7,8.3,89,44
Tre Tucker,WR,LV,7.1,12.2,86,46
Emeka Egbuka,WR,TB,8.4,10.2,86,47
Parker Washington,WR,JAX,7.6,11.2,85,48
Tyreek Hill,WR,MIA,8.3,9.6,80,49
Garrett Wilson,WR,NYJ,8.1,9.7,78,50
Jerry Jeudy,WR,CLE,7.1,10.5,74,51
Adam Thielen,WR,PIT,7.9,8.7,69,52
Rashid Shaheed,WR,SEA,5.6,10.7,60,53
Ricky Pearsall,WR,SF,6.1,9.6,58,55
Marvin Mims Jr.,WR,DEN,5.3,10.1,54,56
Cooper Kupp,WR,SEA,5.6,9.6,53,57
Calvin Ridley,WR,TEN,5.1,10.2,52,58
Josh Downs,WR,IND,5.0,10.5,52,59
Jayden Reed,WR,GB,5.2,10.0,52,60
Malik Washington,WR,MIA,4.8,10.6,51,61
Jalen Nailor,WR,MIN,4.6,10.9,50,62
Marquise Brown,WR,KC,5.1,9.3,47,63
Chimere Dike,WR,TEN,4.5,10.3,47,64
Adonai Mitchell,WR,NYJ,4.7,9.8,46,65
DeAndre Hopkins,WR,BAL,4.9,9.2,45,66
Darnell Mooney,WR,ATL,5.3,8.4,45,67
Mack Hollins,WR,NE,4.3,10.4,44,68
Jalen Coker,WR,CAR,4.8,9.0,43,69
Jayden Higgins,WR,HOU,4.1,10.2,42,70
Kendrick Bourne,WR,SF,4.2,9.9,41,71
Keon Coleman,WR,BUF,4.8,8.5,41,72
Kayshon Boutte,WR,NE,4.7,8.6,40,73
Andrei Iosivas,WR,CIN,4.1,9.7,40,74
Xavier Legette,WR,CAR,3.9,10.1,40,75
DeMario Douglas,WR,NE,4.5,8.8,39,77
Tyler Lockett,WR,LV,4.3,8.9,38,78
Darius Slayton,WR,NYG,4.2,9.0,38,79
Elic Ayomanor,WR,TEN,4.0,9.6,38,80
Olamide Zaccheaus,WR,CHI,3.9,9.5,37,81
Greg Dortch,WR,ARI,4.3,8.6,37,82
Calvin Austin III,WR,PIT,4.5,8.3,37,83
Xavier Hutchinson,WR,HOU,3.5,10.5,37,84
Devaughn Vele,WR,NO,4.0,9.3,37,85
Jaylin Noel,WR,HOU,3.6,10.3,37,86
Luther Burden III,WR,CHI,3.7,9.8,37,87
JuJu Smith-Schuster,WR,KC,4.1,8.9,36,88
Tim Patrick,WR,JAX,4.2,8.2,35,90
KaVontae Turpin,WR,DAL,3.8,9.1,35,92
Ryan Flournoy,WR,DAL,3.5,9.8,35,93
Demarcus Robinson,WR,SF,4.2,7.9,33,94
John Metchie III,WR,NYJ,4.1,8.2,33,95
Isaac TeSlaa,WR,DET,3.6,8.8,32,96
Jalen McMillan,WR,TB,4.3,7.1,30,97
Matthew Golden,WR,GB,3.3,9.1,30,98
Travis Hunter,WR,JAX,4.2,7.2,30,99
Kalif Raymond,WR,DET,3.2,8.9,29,100
Van Jefferson,WR,TEN,3.5,8.3,29,101
Jalen Tolbert,WR,DAL,3.5,7.9,28,103
Tre Harris,WR,LAC,3.4,8.5,28,104
Christian Kirk,WR,HOU,3.5,7.7,27,105
Tez Johnson,WR,TB,3.0,9.0,27,106
Jaylin Lane,WR,WAS,2.9,8.9,26,107
Josh Palmer,WR,BUF,3.5,7.1,25,108
Tyrell Shavers,WR,BUF,3.3,7.6,25,109
Cedric Tillman,WR,,3.2,7.6,25,110
Gunner Olszewski,WR,NYG,3.1,7.8,24,111
Tyquan Thornton,WR,KC,3.3,7.2,24,113
Luke McCaffrey,WR,WAS,3.1,7.8,24,114
Isaiah Bond,WR,CLE,2.9,8.2,24,115
Chris Moore,WR,WAS,2.9,7.9,23,116
Kyle Williams,WR,,2.6,8.9,23,118
Jordan Whittington,WR,LA,3.0,7.3,22,121
Pat Bryant,WR,DEN,3.1,7.2,22,122
Jack Bech,WR,LV,2.8,8.0,22,123
Noah Brown,WR,WAS,3.0,7.0,21,124
Nick Westbrook-Ikhine,WR,MIA,3.0,6.9,21,125
Jahan Dotson,WR,PHI,2.5,8.1,20,128
LaJohntay Wester,WR,BAL,1.9,9.5,18,130
Josh Reynolds,WR,NYJ,3.1,5.6,17,131
Brandin Cooks,WR,BUF,2.5,6.5,16,132
David Sills,WR,ATL,2.0,7.8,16,133
Elijah Moore,WR,DEN,2.6,6.2,16,134
Skyy Moore,WR,SF,1.6,9.8,16,135
Mitchell Tinsley,WR,CIN,2.6,6.1,16,136
Lil'Jordan Humphrey,WR,DEN,2.2,6.2,14,137
Gabe Davis,WR,BUF,2.5,5.4,14,138
Kameron Johnson,WR,TB,1.4,10.5,14,139
Jimmy Horn Jr.,WR,CAR,2.1,7.0,14,140
Curtis Samuel,WR,BUF,2.2,6.0,13,141
Marquez Valdes-Scantling,WR,PIT,2.3,5.6,13,142
Cedrick Wilson Jr.,WR,MIA,2.2,5.8,13,143
Kevin Austin Jr.,WR,NO,1.9,6.5,13,144
Treylon Burks,WR,WAS,2.6,5.0,13,145
Isaiah Williams,WR,,1.4,9.6,13,146
Malachi Corley,WR,CLE,1.9,7.2,13,147
Tory Horton,WR,SEA,2.4,5.6,13,148
Zay Jones,WR,ARI,1.6,7.1,12,150
Ashton Dulin,WR,IND,1.7,6.9,12,151
Ke'Shawn Williams,WR,CIN,1.6,7.2,12,152
Justin Watson,WR,,2.2,5.0,11,153
Savion Williams,WR,GB,2.1,5.4,11,155
Tai Felton,WR,MIN,1.4,6.8,10,156
Theo Wease Jr.,WR,MIA,2.8,3.7,10,157
Scott Miller,WR,,1.7,4.9,9,158
Isaiah Hodgins,WR,NYG,1.8,5.3,9,159
Devin Duvernay,WR,CHI,1.5,6.1,9,160
Xavier Smith,WR,LA,1.1,8.5,9,161
KeAndre Lambert-Smith,WR,LAC,1.4,6.0,9,162
Cody White,WR,,2.0,4.2,8,163
Tylan Wallace,WR,BAL,1.6,5.2,8,164
Ben Skowronek,WR,PIT,1.2,6.5,8,165
Jason Brownlee,WR,KC,2.0,3.9,8,166
Tahj Washington,WR,MIA,2.2,3.8,8,167
Gage Larvadain,WR,CLE,1.7,4.8,8,169
Dont'e Thornton Jr.,WR,LV,2.2,3.6,8,170
Arian Smith,WR,NYJ,1.5,5.4,8,171
Konata Mumpfield,WR,LA,2.0,4.2,8,172
DeAndre Carter,WR,CLE,1.5,4.6,7,173
Nikko Remigio,WR,KC,1.0,7.0,7,175
Jalen Brooks,WR,ARI,1.6,4.3,7,176
Brycen Tremayne,WR,CAR,1.2,5.7,7,177
Shedrick Jackson,WR,LV,1.4,5.2,7,178
Devontez Walker,WR,BAL,1.4,5.0,7,180
Derius Davis,WR,LAC,0.9,6.7,6,182
Ryan Miller,WR,,1.3,4.8,6,183
